object={
	name="cotc_planet_generic"
	render_pass=Map
	clamp_to_water_level=no
	generated_content=no
	layer="cotc_space_layer"
	entity="cotc_planet_generic_entity"
	count=18
	transform="5325.357910 0.000000 8318.458008 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
	5309.562012 0.000000 8297.440430 0.000000 0.000000 0.000000 1.000000 0.500000 0.500000 0.500000
	5325.395996 0.000000 8328.989258 0.000000 0.000000 0.000000 1.000000 0.500000 0.500000 0.500000
	5374.514160 0.000000 8266.370117 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
	5391.723633 0.000000 8301.861328 0.000000 0.000000 0.000000 1.000000 0.750000 0.750000 0.750000
	5326.473145 0.000000 8217.586914 0.000000 0.000000 0.000000 1.000000 0.750000 0.750000 0.750000
	5290.000000 0.000000 8534.000000 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
	5321.942383 0.000000 8458.059570 0.000000 0.000000 0.000000 1.000000 0.750000 0.750000 0.750000
	5340.911621 0.000000 8489.659180 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
	5356.276855 0.000000 8512.991211 0.000000 0.000000 0.000000 1.000000 0.750000 0.750000 0.750000
	5092.170898 0.000000 8362.875977 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
	5082.654785 0.000000 8384.227539 0.000000 0.000000 0.000000 1.000000 0.500000 0.500000 0.500000
	5091.436035 0.000000 8343.817383 0.000000 0.000000 0.000000 1.000000 0.500000 0.500000 0.500000
	5028.104980 0.000000 8354.033203 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
	5151.174805 0.000000 8105.912109 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
	5135.058594 0.000000 8099.470703 0.000000 0.000000 0.000000 1.000000 0.500000 0.500000 0.500000
	5167.855957 0.000000 8043.506836 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000
	5182.275391 0.000000 8052.651855 0.000000 0.000000 0.000000 1.000000 0.500000 0.500000 0.500000
"}
