0;0;0;0;x;x;
1;10;10;10;impassable_space;x;

2;80;0;0;avalon_iii;x;
# Barren, a moderate artificial Earth-like environment leading to a limited urban population

3;85;0;0;avalon_iii_orbital;x;
# Orbital station, likely for ship manufacture

4;90;0;0;avalon_iii_b;x;
# Barren, colony

5;95;0;0;avalon_iv;x;
# Barren

6;100;0;0;avalon_v;x;
# Frozen

7;105;0;0;avalon_vi;x;
# Frozen Giant

8;80;15;15;merlin_ii;x;
# Corrosive, military station in atmosphere

9;85;15;15;nimue;x;
# Frozen, populated research centre

10;90;15;15;merlin_iii;x;
# Barren

11;95;15;15;merlin_iv;x;
# Gas Giant

12;80;30;30;camelot;x;
# Atmospheric, highly urbanized

13;90;30;30;camelot_orbital;x;
# Orbital station, likely for ship manufacture

14;95;30;30;camelot_iii;x;
# Barren, colony

15;80;45;45;paladin_ii;x;
# Barren, colony

16;85;45;45;paladin_ii_b;x;
# Barren, colony

17;90;45;45;paladin_iii;x;
# Gas Giant

18;95;45;45;paladin_iii_b;x;
# Frozen

19;168;63;72;avalon_sector;x;
20;140;56;63;nelson_sector;x;
21;134;63;69;galahad_sector;x;
22;144;68;74;lancelot_sector;x;
23;148;56;64;caliburn_sector;x;
24;135;64;70;alfred_sector;x;
25;156;61;69;victoria_sector;x;

26;60;33;33;nelson_ii;x;
# Barren, colony

27;60;38;38;nelson_ii_b;x;
# Barren, colony

28;60;23;23;nelson_iii;x;
# Barren, urbanized

29;60;28;28;nelson_iv;x;
# Frozen Giant

30;57;38;38;chalice_prime;x;
# Barren, urbanized

31;57;33;33;chalice_ii;x;
# Barren, colony

32;57;23;23;chalice_iii;x;
# Frozen

33;53;28;28;sherwood_citadel;x;
# Orbital station, likely for ship manufacture

34;53;33;33;sherwood_iii;x;
# Frozen Giant

35;42;39;68;talon_sector;x;
36;84;42;196;group_87_sector;x;
37;126;45;69;tarka_sector;x;
38;168;48;197;qoqnoos_sector;x;
39;0;51;70;mandela_sector;x;
40;42;54;198;new_lusaka_sector;x;
41;0;54;35;dhartvir_sector;x;
